Reporting Entity,Facility Name,Type,Electricity Production (GJ),Greenhouse Gas Emissions Scope 1 (t CO2-e),Greenhouse Gas Emissions Scope 2 (t CO2-e),Total Emissions  (t CO2-e),Important Notes
IPM AUSTRALIA LIMITED,Loy Yang B Power Station,F,"30,929,043","9,760,662",440,"9,761,102",N/A
IPM AUSTRALIA LIMITED,Corporate Total,C,"30,929,043","9,760,662",440,"9,761,102",N/A
LMS ENERGY PTY LTD,Atlas Renewable Energy Facility,F,"20,626",310,0,310,N/A
LMS ENERGY PTY LTD,Awaba Renewable Energy Facility,F,"27,559",431,0,431,N/A
LMS ENERGY PTY LTD,Ballarat Renewable Energy Facility,F,"15,100",233,0,233,N/A
LMS ENERGY PTY LTD,Bendigo Renewable Energy Facility,F,"18,309",303,0,303,N/A
LMS ENERGY PTY LTD,Birkdale Renewable Energy Facility,F,"23,899",383,0,383,N/A
LMS ENERGY PTY LTD,Darwin Renewable Energy Facility,F,"23,537",414,0,414,N/A
LMS ENERGY PTY LTD,Eastern Creek 2 Renewable Energy Facility,F,"221,353","3,290",0,"3,290",N/A
LMS ENERGY PTY LTD,Hampton Park Renewable Energy Facility,F,"260,797","4,000",0,"4,000",N/A
LMS ENERGY PTY LTD,Ipswich Renewable Energy Facility,F,"33,909",529,0,529,N/A
LMS ENERGY PTY LTD,Mornington Peninsula Renewable Energy Facility,F,"15,545",227,0,227,N/A
LMS ENERGY PTY LTD,Newcastle Renewable Energy Facility,F,"59,350",849,0,849,N/A
LMS ENERGY PTY LTD,Remount Renewable Energy Facility,F,"51,440",815,0,815,N/A
LMS ENERGY PTY LTD,Rochedale Renewable Energy Facility,F,"122,105","1,911",0,"1,911",N/A
LMS ENERGY PTY LTD,Shepparton Renewable Energy Facility,F,"20,644",341,0,341,N/A
LMS ENERGY PTY LTD,South Cardup Renewable Energy Facility,F,"98,922","1,565",0,"1,565",N/A
LMS ENERGY PTY LTD,Swanbank Renewable Energy Facility,F,"1,595",24,0,24,N/A
LMS ENERGY PTY LTD,Tweed Shire Renewable Energy Facility,F,"8,961",144,0,144,N/A
LMS ENERGY PTY LTD,Wollert Renewable Energy Facility,F,"151,358","2,363",0,"2,363",N/A
LMS ENERGY PTY LTD,Wyndham Renewable Energy Facility,F,"24,642",352,0,352,N/A
LMS ENERGY PTY LTD,Wyong Renewable Energy Facility,F,"61,408",974,0,974,N/A
LMS ENERGY PTY LTD,Corporate Total,C,"1,261,059","19,458",0,"19,458",N/A
MACQUARIE GENERATION,Bayswater Power Station,F,"59,736,168","14,361,187","7,039","14,368,226",N/A
MACQUARIE GENERATION,Hunter Valley Gas Turbines,F,"1,313","1,027",997,"2,024",N/A
MACQUARIE GENERATION,Liddell Power Station,F,"23,678,624","6,049,965","45,840","6,095,805",N/A
MACQUARIE GENERATION,Corporate Total,C,"83,416,105","20,412,179","53,876","20,466,055",N/A
MORTONS LANE WIND FARM (HOLDING) PTY LTD,Mortons Lane Windfarm Pty Ltd,F,"119,521",0,0,0,N/A
MORTONS LANE WIND FARM (HOLDING) PTY LTD,Corporate Total,C,"119,521",0,0,0,N/A
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,Hazelwood Power Station,F,"41,339,153","16,033,962","197,015","16,230,977",N/A
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,Corporate Total,C,"41,339,153","16,033,962","197,015","16,230,977",N/A
NEWGEN KWINANA HOLDINGS PTY LTD,Kwinana Gas Fired Power Station,F,"6,447,632","728,321","1,682","730,003",N/A
NEWGEN KWINANA HOLDINGS PTY LTD,Corporate Total,C,"6,447,632","728,321","1,682","730,003",N/A
NRG VICTORIA 1 PTY LTD,Gladstone Power Station,F,"22,506,514","5,901,815","52,516","5,954,331",N/A
NRG VICTORIA 1 PTY LTD,Corporate Total,C,"22,506,514","5,901,815","52,516","5,954,331",N/A
ORIGIN ENERGY ELECTRICITY LIMITED,Eraring Power Station,F,"41,015,558","9,824,766","24,020","9,848,786",N/A
ORIGIN ENERGY ELECTRICITY LIMITED,Shoalhaven Scheme,F,"271,608",3,"93,793","93,796",N/A
ORIGIN ENERGY ELECTRICITY LIMITED,Corporate Total,C,"41,287,166","9,824,769","117,813","9,942,582",N/A
ORIGIN ENERGY LIMITED,Australand,F,"4,190",692,51,743,N/A
ORIGIN ENERGY LIMITED,Blackmores,F,"4,676",899,57,956,N/A
ORIGIN ENERGY LIMITED,Bond,F,"5,866",907,72,979,N/A
ORIGIN ENERGY LIMITED,Cullerin - Operation,F,"358,430",19,81,100,N/A
ORIGIN ENERGY LIMITED,Dandenong,F,"4,450",491,43,534,N/A
ORIGIN ENERGY LIMITED,Darling Downs PS - Operation,F,"10,373,069","1,210,737","14,653","1,225,390",N/A
ORIGIN ENERGY LIMITED,Drapac,F,"2,503",443,41,484,N/A
ORIGIN ENERGY LIMITED,Exhibition Street,F,"9,971","1,489",165,"1,654",N/A
ORIGIN ENERGY LIMITED,Kent Street,F,"1,770",239,31,270,N/A
ORIGIN ENERGY LIMITED,La Trobe,F,"3,208",519,53,572,N/A
ORIGIN ENERGY LIMITED,Ladbroke Grove PS,F,"330,062","50,539",512,"51,051",N/A
ORIGIN ENERGY LIMITED,Mirvac,F,"21,855","3,277",297,"3,574",N/A
ORIGIN ENERGY LIMITED,Mortlake Power Station,F,"6,153,358","878,187","5,319","883,506",N/A
ORIGIN ENERGY LIMITED,Mount,F,"7,154","1,064",87,"1,151",N/A
ORIGIN ENERGY LIMITED,Mt Stuart - Operation,F,"204,640","54,336","4,334","58,670",N/A
ORIGIN ENERGY LIMITED,Quarantine PS - Operation,F,"540,696","103,452","2,215","105,667",N/A
ORIGIN ENERGY LIMITED,Roma PS,F,"137,598","25,372",935,"26,307",N/A
ORIGIN ENERGY LIMITED,Stockland Headquarters,F,"4,917",804,60,864,N/A
ORIGIN ENERGY LIMITED,University of NSW,F,"8,792","1,337",107,"1,444",N/A
ORIGIN ENERGY LIMITED,Uranquinty PS - Operation,F,"1,267,855","204,864","5,524","210,388",N/A
ORIGIN ENERGY LIMITED,Corporate Total,C,"19,445,060","2,539,667","34,637","2,574,304",N/A
OZGEN HOLDINGS AUSTRALIA PTY LTD,Callide C Power Station (facility),F,"16,508,131","4,132,681","24,305","4,156,986",Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice.
OZGEN HOLDINGS AUSTRALIA PTY LTD,Millmerran Power Station (facility),F,"25,477,416","5,780,739","3,012","5,783,751",N/A
OZGEN HOLDINGS AUSTRALIA PTY LTD,Corporate Total,C,"41,985,547","9,913,420","27,317","9,940,737",N/A
PELICAN POINT POWER LIMITED,Pelican Point Power Station,F,"10,763,736","1,187,715","4,206","1,191,921",N/A
PELICAN POINT POWER LIMITED,Corporate Total,C,"10,763,736","1,187,715","4,206","1,191,921",N/A
POWER AND WATER CORPORATION,Channel Island Power Station,F,"3,746,665","559,973",0,"559,973",N/A
POWER AND WATER CORPORATION,Katherine Power Station,F,"119,931","22,494",0,"22,494",N/A
POWER AND WATER CORPORATION,Katherine Region,FA,"64,915","13,065",0,"13,065",N/A
POWER AND WATER CORPORATION,Kings Canyon Resort Power Station,F,"6,405","1,447",0,"1,447",N/A
POWER AND WATER CORPORATION,Northern (Darwin) Region,FA,"215,716","46,408",0,"46,408",N/A
POWER AND WATER CORPORATION,Owen Springs Power Station,F,"225,890","32,069",0,"32,069",N/A
POWER AND WATER CORPORATION,Remote Centres Generation,FA,"53,299","10,386",0,"10,386",N/A
POWER AND WATER CORPORATION,Ron Goodin Power Station,F,"442,962","87,451",0,"87,451",N/A
POWER AND WATER CORPORATION,Southern Region,FA,"102,590","22,868",0,"22,868",N/A
POWER AND WATER CORPORATION,Tennant Creek Power Station,F,"114,391","22,994",0,"22,994",N/A
POWER AND WATER CORPORATION,Weddell Power Station,F,"1,171,567","187,257",0,"187,257",N/A
POWER AND WATER CORPORATION,Yulara Power Station,F,"79,011","14,332",0,"14,332",N/A
POWER AND WATER CORPORATION,Corporate Total,C,"6,343,342","1,020,744",0,"1,020,744",N/A
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,Visy Energy - Coolaroo Co-gen,F,"25,390","13,508","9,343","22,851",N/A
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,Corporate Total,C,"25,390","13,508","9,343","22,851",N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Collinsville Power Station,F,773,"3,107","2,259","5,366",N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Kemerton Power Station.,F,"334,065","63,929","2,593","66,522",N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Starfish Hill Wind Farm,F,"261,473",49,62,111,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Toora Wind Farm,F,"189,969",11,265,276,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Townsville Power Station.,F,"2,180,225","257,868","3,055","260,923",N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Windy Hill Wind Farm,F,"106,687",8,12,20,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Corporate Total,C,"3,073,192","324,972","8,246","333,218",N/A
REDBANK ENERGY LIMITED,Redbank Power Station,F,"3,452,614","1,138,648",97,"1,138,745",N/A
REDBANK ENERGY LIMITED,Corporate Total,C,"3,452,614","1,138,648",97,"1,138,745",N/A
REGIONAL POWER CORPORATION,Carnarvon Power Station,F,"176,559","29,828",0,"29,828",N/A
REGIONAL POWER CORPORATION,Horizon Power Aggregated Minor Power Stations,FA,"41,065","8,821",0,"8,821",N/A
REGIONAL POWER CORPORATION,Corporate Total,C,"217,624","38,649",0,"38,649",N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Bluff point Wind Farm Pty Ltd,F,"901,598",103,"5,827","5,930",N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Studland Bay Wind Farm Pty Ltd,F,"959,743",103,"6,717","6,820",N/A
SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Corporate Total,C,"1,861,341",206,"12,544","12,750",N/A
SNOWTOWN WIND FARM PTY LTD,Snowtown Wind Farm,F,"1,379,760",0,201,201,N/A
SNOWTOWN WIND FARM PTY LTD,Corporate Total,C,"1,379,760",0,201,201,N/A
SNOWY HYDRO LIMITED,Laverton North Power Station,F,"53,348","11,046","3,929","14,975",N/A
SNOWY HYDRO LIMITED,Snowy Hydro Ltd,F,"18,534,305","2,645","126,289","128,934",N/A
SNOWY HYDRO LIMITED,Valley Power,F,"42,641","9,637","3,142","12,779",N/A
SNOWY HYDRO LIMITED,Corporate Total,C,"18,630,294","23,328","133,360","156,688",N/A
STANWELL CORPORATION LIMITED,Barron Gorge Power Station,F,"649,669",206,654,860,N/A
STANWELL CORPORATION LIMITED,Kareeya Power Station,F,"1,697,709",184,864,"1,048",N/A
STANWELL CORPORATION LIMITED,Mackay Gas Turbine,F,21,254,4,258,N/A
STANWELL CORPORATION LIMITED,Mica Creek Power Station,F,"6,394,400","964,809",0,"964,809",N/A
STANWELL CORPORATION LIMITED,Stanwell Power Station,F,"29,581,033","7,074,066","139,788","7,213,854",N/A
STANWELL CORPORATION LIMITED,Swanbank E Power Station,F,"5,069,567","542,872","1,553","544,425",N/A
STANWELL CORPORATION LIMITED,Tarong Power Stations,F,"29,267,281","6,914,480","50,726","6,965,206",N/A
STANWELL CORPORATION LIMITED,Corporate Total,C,"72,659,680","15,496,871","193,589","15,690,460",N/A
SYNERGEN POWER PTY LIMITED,Dry Creek Power Station,F,"24,200","8,551",706,"9,257",N/A
SYNERGEN POWER PTY LIMITED,Mintaro Power Station,F,"44,188","10,527",138,"10,665",N/A
SYNERGEN POWER PTY LIMITED,Port Lincoln Power Station,F,"4,922","2,013",465,"2,478",N/A
SYNERGEN POWER PTY LIMITED,Snuggery Power Station,F,"1,115",391,600,991,N/A
SYNERGEN POWER PTY LIMITED,Corporate Total,C,"74,425","21,482","1,909","23,391",N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kalgoorlie Power Station,F,"954,720","150,972",0,"150,972",N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kambalda Power Station,F,"997,191","157,144",0,"157,144",N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Leinster Power Station,F,"1,140,496","173,277",0,"173,277",N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Mt Keith Power Station,F,"1,393,183","233,719",0,"233,719",N/A
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,"4,485,590","715,112",0,"715,112",N/A
WORLEYPARSONS LIMITED,Exmouth Power Station,F,"90,371","17,661",0,"17,661",N/A
WORLEYPARSONS LIMITED,Corporate Total,C,"90,371","17,661",0,"17,661",N/A
Grand Total "830,637,121","181,932,855","1,920,086","183,852,941",Please note that the grand total of the Designated Electricity Generators Report includes a facility that appears twice in the report.
