dukes_name,gppd_idnr,repd_name,capacity_mw,latitude,longitude,fuel1,owner,source,url,geolocation_source
Maldie Burn,GBR0000484,,4,58.2603,-4.9819,Hydro,RWE npower,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Malmesbury Solar,GBR0001079,,5,51.6243,-2.1089,Solar,Sunstroom Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manmoel Road Solar Park,GBR0005437,,4.1,51.7037,-3.1793,Solar,Pearmat Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manor Farm,GBR0002181,,7.5,51.9248,-0.6118,Solar,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manor Farm,GBR1000276,,0.7636,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Manor Farm,GBR0001019,,4.7,50.3371,-4.8363,Solar,Low carbon Solar Partners,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manor Farm (Castle Cary),GBR0002242,,1.8,51.0806,-2.5102,Solar,Brilliant Harvest Installations,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manor Farm (Dorset),GBR0001904,,5,51.0541,-2.3179,Solar,INRG Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manor Farm (Farm AD),GBR0000282,,1.5,52.8353,0.0816,Biomass,Tamar Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manor Farm (Horton),GBR0002205,,5,52.1752,-0.7804,Solar,Capital Stage,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manor Farm (Keinton Mandeville),GBR0002387,,1,51.0696,-2.6409,Solar,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manor Farm (Monmouthshire),GBR0001746,,10.5,51.8346,-2.9253,Solar,3C Energy/Conergy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manor Farm (Wiltshire) - resubmission,GBR0001923,,6.3,51.4095,-2.2189,Solar,RB & T Barton Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manor Farm - Pertenhall,GBR0002299,,15,52.2679,-0.4234,Solar,Prosolia UK,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manor Farm - Shripney,GBR0002296,,5,50.8148,-0.6825,Solar,BNRG Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manor Farm Eggington,GBR1000277,,4.992,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Manston,GBR1000278,,9.831,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Manston Solar Farm,GBR0001232,,9.9,51.3519,1.3674,Solar,Vogt Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Manston Solar Farm extension (Westwood),GBR0001359,,9.2,51.3519,1.3745,Solar,Sunsave 16 Ltd/ Vogt Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
March,GBR1000529,,1.5,,,Wind,Wind Prospect,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Marchington Solar Farm,GBR0002036,,4.3,52.878,-1.832,Solar,Trina Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Marchwood,GBR1000311,,842,50.8998,-1.4384,Gas,Marchwood Power Limited,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,GEODB
Marchwood ERF,GBR0000835,,16,50.8981,-1.4553,Waste,Veolia,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Margam Green Energy Plant,GBR0000113,,40,51.5633,-3.7479,Biomass,Glennmont Partners,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Margate,GBR1000181,,3.366,,,Solar,Greencoat Solar,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Margate Solar Farm,GBR0004878,,3,50.4671,-4.6976,Solar,Lanhydrock Estate Company,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mark Hill,GBR0003260,,56,55.1284,-4.7463,Wind,Force 9 Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mark's Quarry,GBR0000649,,1,54.8124,-1.5114,Waste,Ylem Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Markinch Biomass CHP Plant,GBR0000155,,65,56.2012,-3.1623,Biomass,RWE,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Markinch CHP,GBR1000361,,65,,,Cogeneration,RWE Innogy UK Ltd,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Markley Group (Premiere Kitckens) Biomass,GBR0000127,,2.1,51.8101,-2.282,Biomass,Markley Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Marley Thatch Solar Farm,GBR0001467,,6.3,50.4248,-3.8093,Solar,TGC Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Marr Windfarm,GBR0003963,,8,53.533,-1.2397,Wind,Banks Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Marsh Farm,GBR0001725,,14,51.6264,-2.1108,Solar,Steadfast Marsh Solar Ltd - Innogy (previously BELECTRIC Solar) (Wai-Kit Cheung <waikit.cheung@belectric.co.uk>),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Marsh Farm  (Farm AD),GBR0000222,,1.4,53.0336,0.1569,Biomass,Staples,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Marsh Farm Hilperton,GBR0002373,,9.1,51.3422,-2.1856,Solar,Hilperton PV Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Marsh House Solar Park,GBR0001233,,5.5,51.2056,-0.8486,Solar,Constantine Land Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Marshborough Farm solar park (resubmission),GBR0005117,,5,51.2774,1.3072,Solar,Vogt Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Marshill Farm,GBR0006106,,1.5,55.6871,-3.9334,Wind,Green Cat Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Marshwood Farm,GBR0004752,,1.8,50.8394,-2.937,Solar,KWTN Solar,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Marston Solar Farm,GBR0001433,,4.9,52.9692,-0.6907,Solar,Lark Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Marston Vale Country Park Wind Turbine,GBR0003890,,1.5,52.0647,-0.5354,Wind,Blue Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Masons Power Plant Landfill Scheme,GBR0000522,,5.5,52.1089,1.0813,Waste,Haul Waste Disposal Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Maw Green Landfill Site,GBR0000545,,1.6,53.1139,-2.4228,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
"Maw Green Landfill Site, Cheshire (Extension)",GBR0000658,,2,53.1139,-2.4228,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mawdesley Moss,GBR0003944,,2.3,53.6335,-2.7803,Wind,Damian Culshaw,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
May Farm Anaerobic Digester (Farm AD),GBR0000273,,2.4,52.4546,0.3521,Biomass,Barway Farms Limited/Shropshire Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mayton Wood Landfill Site,GBR0000728,,1.5,52.7381,1.3256,Waste,Combined Landfill Projects (CLP),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
McCain Foods AD Plant (AD),GBR0000278,,1,52.5594,-0.1752,Biomass,McCain Foods (GB) Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Meadow Farm (Thorpe Lanton),GBR1000279,,4.998,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Meadow Farm solar park,GBR0001820,,6,52.5433,0.544,Solar,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Meadow Hall Power,GBR0000772,,1.1,53.426,-1.407,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Meall an Tuirc Wind Farm,GBR0003297,,17,57.71,-4.427,Wind,RWE npower,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Medway,GBR1000437,,700,51.4396,0.6894,Gas,Scottish and Southern: Thermal,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,GEODB
Meece Landfill,GBR0000561,,1.3,52.9023,-2.2185,Waste,THOMAS GRAVESON LTD,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Meig Dam,GBR1000427,,0.076,,,Hydro,Scottish and Southern: Small Hydros,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Meikle Carewe (Re-Submission),GBR0004109,,10,57.0188,-2.2783,Wind,The Renewables Infrastructure Group (TRIG),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Melton Waste Park (resubmission),GBR0004995,,5,53.7172,-0.5336,Wind,Seneca Global Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mendennick Farm (resubmission),GBR0004891,,2.8,50.355,-4.2407,Solar,REG Solarpower,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mendennick Solar,GBR1000320,,2.64,,,Solar,REG Blackrock,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Mendip,GBR1000028,,7.175,,,Solar,Anesco,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Merevale & Blyth Estate (Waste AD),GBR0000270,,2,52.5711,-1.5867,Biomass,Ancala Bioenergy (formerly Biogen),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Merston,GBR1000182,,4.999,,,Solar,Greencoat Solar,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Merston Solar Park,GBR0004713,,10,50.8181,-0.7317,Solar,Primrose Solar / Mongoose Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Metheringham Heath (Farm AD),GBR0000331,,6.5,53.1334,-0.4721,Biomass,Future Biogas (Blankney Estate),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Methlick Farmers Wind Energy Project,GBR0003548,,12,57.4276,-2.2431,Wind,Orkney Sustainable Energy Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Michelin Tyre Co Ltd - Dundee,GBR0004681,,4,56.4836,-2.8938,Wind,Ecotricity,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mid Hill - Phase II,GBR0004627,,18.4,56.9688,-2.4862,Wind,Fred Olsen Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mid Hill I,GBR0004667,,57.5,56.9688,-2.4862,Wind,Fred Olsen Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mid Suffolk Home Solar Scheme,GBR0001894,,4.8,52.1541,1.0391,Solar,Mid Suffolk District Council,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Middle Balbeggie,GBR1000530,,4,,,Wind,Wind Prospect,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Middle Balbeggie,GBR0005797,,5,56.1479,-3.1467,Solar,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Middle Balbeggie Wind Turbines,GBR0004094,,6.4,56.1537,-3.1645,Wind,Capital Dynamics,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Middle Treworder Farm,GBR0001541,,5,50.5036,-4.8437,Solar,Innogy (previously BELECTRIC Solar),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Middlemoor,GBR0004019,,54,55.4986,-1.7678,Wind,Npower Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Middleton Wind Farm,GBR0003702,,12,55.7751,-4.3426,Wind,Scottish Power Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Middlewick wind farm,GBR0004662,,20.7,51.6631,0.8925,Wind,Blue Energy (formerly Ridgewind Ltd),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mill Farm (resubmission),GBR0005887,,5,51.9074,-0.0466,Solar,Push Energy/ NextEnergy Solar Fund (NESF),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mill Hill Farm,GBR0005157,,5,54.0956,-1.0323,Solar,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Millar Farm,GBR0005085,,6,54.7415,-6.2388,Solar,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Millar Farm,GBR1000280,,7.21088,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Millennium Extension,GBR0003598,,10,57.1502,-4.8912,Wind,West Coast Energy /Falck Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Millennium Extension II,GBR0002723,,15,57.1552,-4.8836,Wind,West Coast Energy Ltd/Falck Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Millennium Windfarm,GBR0004682,,40,57.1552,-4.8836,Wind,Renewable Development Company (RDC) Scotland (Ltd) for FALCK RENEWABLES,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Millerhill AD (Waste AD),GBR0000371,,1.5,55.9255,-3.0834,Biomass,Ancala Bioenergy (formerly Biogen/Aluana Renewable Energy),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Millour Hill Community Windfarm (Extension) resubmission,GBR0004235,,6.4,55.7358,-4.7809,Wind,Community Windpower,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Millour Hill Community Windfarm (Re-submission),GBR0003690,,18,55.7307,-4.775,Wind,Community Windpower,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Milton Keynes Wind Farm,GBR0002968,,14,52.1328,-0.6865,Wind,Gravis Capital Management,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Milton Landfill Site,GBR0000672,,2,52.2406,0.1561,Waste,Waste Recycling Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Milton of Fisherie Wind Cluster,GBR0003809,,4.6,57.6204,-2.4191,Wind,LocoGen,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mingay Farm,GBR0001387,,5,52.3449,0.1662,Solar,Abbey Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mingay Farm - extension,GBR0001502,,19.3,52.3351,0.1571,Solar,Octopus Imvetments,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Minnygap (Resubmission),GBR0004437,,25,55.2488,-3.5148,Wind,Minnygap (formerly RES),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Minsca,GBR0004517,,36.8,55.1221,-3.3529,Wind,Airtricity,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Minsworth Sewage Treatment Works,GBR0006232,,9.7,52.5318,-1.754,Waste,Severn Trent Water,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Misgeach Power Station,GBR1000428,,0.35,,,Hydro,Scottish and Southern: Small Hydros,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Misson Solar Farm,GBR0006181,,5,53.4454,-0.981,Solar,Novus,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Moel Maelogen A,GBR0002653,,2.6,53.1363,-3.725,Wind,John Laing Environmental (formerly Atlantic Energy / EnergieKontor),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Moel Maelogen A Phase 2,GBR0003172,,11.7,53.1363,-3.725,Wind,John Laing Environmental,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Moira Road,GBR0002324,,6.5,54.6077,-6.1899,Solar,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Molehill Farm,GBR0002367,,18,51.3566,1.0854,Solar,Bluefield Solar Income Fund,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Molly Mountain,GBR0004066,,15,54.1979,-7.6365,Wind,Erne Concrete Pumping,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Monan Hill Wind Turbines,GBR0004629,,1.5,57.9417,-6.8318,Wind,North Harris Trust,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Moneystone Quarry Solar Farm (resubmission),GBR0005229,,5,53.0133,-1.9333,Solar,SBC Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Monksham Solar Farm,GBR0002039,,10.7,51.1846,-2.3358,Solar,John Laing Environmental Assets Group,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Monnaboy Wind Farm,GBR0004155,,12,54.9791,-7.1341,Wind,Gaelectric Developments/ CGN Europe Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Monty's Farm  Taunton,GBR1000227,,4.61032,,,Solar,Lark Energy,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Montys Farm,GBR0004712,,5,51.0319,-3.1666,Solar,Solar Ventures,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Moor House Wind Farm (resubmission),GBR0004642,,12,54.5746,-1.4972,Wind,Banks Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Moor Solar 1,GBR1000281,,1.66665,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Moor Solar 2,GBR1000282,,1.06748,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Moorhouse Farm,GBR0004903,,5,54.614,-3.53,Solar,Solar Park Developments,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Moorhouse Lane - resubmission,GBR0002040,,1.8,51.5149,-2.6576,Solar,Orta Solar Ltd,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Morar Power Station,GBR1000429,,0.8,,,Hydro,Scottish and Southern: Small Hydros,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Morfa,GBR1000283,,1.99899,,,Solar,Lightsource,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Morfa Farm,GBR0001862,,2,51.4216,-3.4977,Solar,Lightsource Renewable Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mornflake Oats Wind Turbine,GBR0002822,,2.3,57.6599,-2.6462,Wind,Mornflake Oats/ Hamlyns Oats,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Morrisons roof mounted solar,GBR0001237,,2,51.3717,0.7454,Solar,Morrisons,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Morton House (Marchington),GBR0005288,,6.2,52.8738,-1.7764,Solar,Foresight Group (TGC Renewables),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Morton Wood Farm,GBR0002041,,4.8,52.1813,-1.9568,Solar,Sun & Soil,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Moss Thorn Farm,GBR0006019,,5.8,54.6678,-2.7983,Solar,TGC Renewables,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mossford,GBR1000393,,18.66,,,Hydro,Scottish and Southern: Hydro Schemes - Conon,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Mossmorran,GBR1000531,,4.6,,,Wind,Wind Prospect,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Mossmorran Wind Farm,GBR0002780,,4.6,56.0905,-3.3177,Wind,Airvolution Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mount Farm,GBR0002175,,22,52.0719,-1.9102,Solar,INRG (Solar Park) 14,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mount Mill Farm - resubmission,GBR0002228,,12,52.0394,-0.8943,Solar,OPDE,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mountsorrel Landfill Site,GBR0000749,,1.6,52.7296,-1.1559,Waste,Redland Aggregates Ltd / Combined Landfill Projects (CLP),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Moy,GBR1000148,,60,,,Wind,Eneco Wind UK Limited,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,
Moy Wind Farm (2nd Application),GBR0003647,,66,57.3888,-4.0488,Wind,Eneco,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mucking Gas 2 Landfill Scheme,GBR0000739,,3.8,51.4939,0.4244,Waste,ENERGY DEVELOPMENTS (UK) LTD,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mucking Gas 3 Landfill Scheme,GBR0000737,,3.9,51.4939,0.4244,Waste,Cory Environmental,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Mucomir,GBR0000469,,2,56.9107,-4.9852,Hydro,Scottish and Southern Energy (SSE),UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Muirake,GBR0003594,,4.6,57.6114,-2.7244,Wind,vento ludens,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
Muirhall,GBR0004683,,12.3,55.7669,-3.5858,Wind,Lomond Energy,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database
